subject ROI    y     x
HMN129_W2 RIFG_BA45 0.0913 14.29
HMN130 RIFG_BA45 0.1708 14.8
HMN134 RIFG_BA45 -0.128 13.07
HMN136 RIFG_BA45 0 16.07
HMN138 RIFG_BA45 -0.0127 17.39
HMN140 RIFG_BA45 0.1456 14.1
HMN143 RIFG_BA45 0.0593 18.68
HMN144 RIFG_BA45 -0.0925 16.24
HMN161_W2 RIFG_BA45 0.2546 16.14
HMN167 RIFG_BA45 -0.0176 16.12
HMN169 RIFG_BA45 0.0246 16.55
HMN172 RIFG_BA45 0.0773 16.24
HMN174 RIFG_BA45 0.1769 18
HMN175 RIFG_BA45 0.1742 19.79
HMN178 RIFG_BA45 0.1687 16.95
HMN180 RIFG_BA45 0.4827 16.86
HMN182 RIFG_BA45 -0.0903 17.95
HMN183 RIFG_BA45 0.0404 18.6
HMN184 RIFG_BA45 0.0265 17.12
HMN186 RIFG_BA45 0.089 17.07
HMN187 RIFG_BA45 0.0737 19.6
HMN188 RIFG_BA45 -0.2819 18.1
HMN189 RIFG_BA45 -0.0646 16.74
HMN190 RIFG_BA45 -0.1656 17.33
HMN191 RIFG_BA45 0.0058 17.98
HMN193 RIFG_BA45 7e-04 11.4
HMN194 RIFG_BA45 -0.0553 18.93
HMN196 RIFG_BA45 -0.0861 19.31
HMN197 RIFG_BA45 0.1627 18
HMN199 RIFG_BA45 0.2966 15.26
HMN201 RIFG_BA45 -0.0656 17.21
HMN001 RIFG_BA9 0.0121 17.76
HMN002 RIFG_BA9 0.1209 17.05
HMN003 RIFG_BA9 -0.0363 15.81
HMN004 RIFG_BA9 0.2098 15.19
HMN005 RIFG_BA9 -0.0391 17.31
HMN006 RIFG_BA9 -0.0734 19.9
HMN007 RIFG_BA9 0.2784 16.76
HMN008 RIFG_BA9 0.0493 19.48
HMN011 RIFG_BA9 -0.127 16.88
HMN012 RIFG_BA9 -0.0466 19.29
HMN013 RIFG_BA9 0.0678 19.62
HMN014 RIFG_BA9 0.3479 17.48
HMN018 RIFG_BA9 0.4318 17.95
HMN019 RIFG_BA9 0.1872 19.07
HMN020 RIFG_BA9 0.1588 17.33
HMN021 RIFG_BA9 0.0491 18.19
HMN023 RIFG_BA9 0.0519 19.57
HMN024 RIFG_BA9 0.1533 18.75
HMN025 RIFG_BA9 0.2366 18.95
HMN026 RIFG_BA9 0.0242 18.14
HMN027 RIFG_BA9 0.1105 18.98
HMN028 RIFG_BA9 0.1556 17.88
HMN029 RIFG_BA9 0.1772 19.71
HMN030 RIFG_BA9 0.0618 15.93
HMN031 RIFG_BA9 0.3831 15.76
HMN032 RIFG_BA9 0.1526 18.29
HMN033 RIFG_BA9 0.0023 11.24
HMN035 RIFG_BA9 0.1991 17.76
HMN037 RIFG_BA9 -0.0305 17.41
HMN038 RIFG_BA9 0.1912 17.81
HMN039 RIFG_BA9 0.0318 17.12
HMN040 RIFG_BA9 0.136 13.02
HMN041 RIFG_BA9 0.002 16.83
HMN042 RIFG_BA9 0.2297 16.69
HMN043 RIFG_BA9 0.2848 16.48
HMN045 RIFG_BA9 0.0698 19.46
HMN048 RIFG_BA9 0.1205 15.86
HMN049 RIFG_BA9 0.1322 16.76
HMN050_2 RIFG_BA9 0.0626 19.05
HMN052 RIFG_BA9 0.1878 18.76
HMN053 RIFG_BA9 0.195 11.88
HMN055 RIFG_BA9 0.0708 15.69
HMN056 RIFG_BA9 0.0454 19.95
HMN057 RIFG_BA9 0.1694 17.45
HMN058 RIFG_BA9 0.121 18.6
HMN060 RIFG_BA9 0.1374 19.33
HMN062 RIFG_BA9 0.0052 14.67
HMN065 RIFG_BA9 0.4003 18.21
HMN068 RIFG_BA9 0.0586 18.71
HMN069 RIFG_BA9 0.1367 18.45
HMN072 RIFG_BA9 0.0902 14.88
HMN073 RIFG_BA9 0.1806 14.95
HMN074 RIFG_BA9 0.1334 18.67
HMN075 RIFG_BA9 0.0321 18.88
HMN077 RIFG_BA9 0.0683 17.52
HMN079 RIFG_BA9 0.2915 15.54
HMN080_W2 RIFG_BA9 0.1553 15.1
HMN081 RIFG_BA9 0.1372 13.5
HMN082 RIFG_BA9 0.1072 9.8
HMN083_W2 RIFG_BA9 0.2457 15.07
HMN085 RIFG_BA9 -0.0086 13.6
HMN086 RIFG_BA9 0.0475 16.05
HMN087 RIFG_BA9 0.2973 19
HMN088 RIFG_BA9 -0.09 14.07
HMN090 RIFG_BA9 -0.0084 19.29
HMN092 RIFG_BA9 0.134 12.86
HMN095 RIFG_BA9 0.0491 16.85
HMN096 RIFG_BA9 0.1655 17.69
HMN099 RIFG_BA9 -0.043 17.05
HMN101 RIFG_BA9 -0.0318 14.64
HMN102 RIFG_BA9 0.2779 12.37
HMN103 RIFG_BA9 0.0232 15.93
HMN104 RIFG_BA9 0.046 18.43
HMN105 RIFG_BA9 0.2297 16.71
HMN108 RIFG_BA9 0.0631 18.05
HMN109 RIFG_BA9 0.1474 13.95
HMN110 RIFG_BA9 0.1207 15.67
HMN111 RIFG_BA9 -0.088 13.93
HMN113 RIFG_BA9 -0.1113 18.98
HMN114 RIFG_BA9 0.0788 18.68
HMN115 RIFG_BA9 0.1114 17.33
HMN116 RIFG_BA9 0.0493 15.93
HMN117 RIFG_BA9 0.0144 18.86
HMN118 RIFG_BA9 0.135 14.6
HMN119 RIFG_BA9 -0.0185 15.48
HMN120 RIFG_BA9 0.024 14.95
HMN121 RIFG_BA9 0.1695 17.86
HMN122 RIFG_BA9 0.0223 19
HMN123 RIFG_BA9 0.0504 16.32
HMN124 RIFG_BA9 0.1143 18
HMN125_W2 RIFG_BA9 0.1221 18.26
HMN126 RIFG_BA9 0.0408 12.98
HMN127 RIFG_BA9 0.1594 16.74
HMN129_W2 RIFG_BA9 0.1396 14.29
HMN130 RIFG_BA9 0.2887 14.8
HMN134 RIFG_BA9 0.026 13.07
HMN136 RIFG_BA9 -0.1054 16.07
HMN138 RIFG_BA9 0.121 17.39
HMN140 RIFG_BA9 0.1693 14.1
HMN143 RIFG_BA9 0.0251 18.68
HMN144 RIFG_BA9 0.0973 16.24
HMN161_W2 RIFG_BA9 0.0093 16.14
HMN167 RIFG_BA9 0.0933 16.12
HMN169 RIFG_BA9 0.1863 16.55
HMN172 RIFG_BA9 0.0312 16.24
HMN174 RIFG_BA9 0.054 18
HMN175 RIFG_BA9 0.197 19.79
HMN178 RIFG_BA9 0.1086 16.95
HMN180 RIFG_BA9 -0.0131 16.86
HMN182 RIFG_BA9 -0.0558 17.95
HMN183 RIFG_BA9 0.3398 18.6
HMN184 RIFG_BA9 0.1031 17.12
HMN186 RIFG_BA9 0.1459 17.07
HMN187 RIFG_BA9 -0.0452 19.6
HMN188 RIFG_BA9 0.1046 18.1
HMN189 RIFG_BA9 0.1273 16.74
HMN190 RIFG_BA9 0.1817 17.33
HMN191 RIFG_BA9 0.0892 17.98
HMN193 RIFG_BA9 0.0474 11.4
HMN194 RIFG_BA9 0.1078 18.93
HMN196 RIFG_BA9 -0.1339 19.31
HMN197 RIFG_BA9 0.0075 18
HMN199 RIFG_BA9 0.2629 15.26
HMN201 RIFG_BA9 -0.0013 17.21
HMN001 LMTG 0.3228 17.76
HMN002 LMTG -0.0054 17.05
HMN003 LMTG 0.1439 15.81
HMN004 LMTG 0.255 15.19
HMN005 LMTG 0.1074 17.31
HMN006 LMTG 0.1497 19.9
HMN007 LMTG -0.1271 16.76
HMN008 LMTG 0.1423 19.48
HMN011 LMTG 0.0364 16.88
HMN012 LMTG -0.2397 19.29
HMN013 LMTG 0.0859 19.62
HMN014 LMTG -0.153 17.48
HMN018 LMTG 0.639 17.95
HMN019 LMTG -0.0604 19.07
HMN020 LMTG -0.0556 17.33
HMN021 LMTG 0.6281 18.19
HMN023 LMTG 0.0447 19.57
HMN024 LMTG 0.2177 18.75
HMN025 LMTG 0.2526 18.95
HMN026 LMTG -0.1323 18.14
HMN027 LMTG 0.1355 18.98
HMN028 LMTG 0.5115 17.88
HMN029 LMTG 0.1843 19.71
HMN030 LMTG -0.0984 15.93
HMN031 LMTG -0.2162 15.76
HMN032 LMTG 0.4045 18.29
HMN033 LMTG 0.3227 11.24
HMN035 LMTG 0.183 17.76
HMN037 LMTG 0.4857 17.41
HMN038 LMTG -0.0852 17.81
HMN039 LMTG 0.256 17.12
HMN040 LMTG 0.3006 13.02
HMN041 LMTG 0.2242 16.83
HMN042 LMTG 0.4034 16.69
HMN043 LMTG 0.1802 16.48
HMN045 LMTG 0.2733 19.46
HMN048 LMTG 0.1544 15.86
HMN049 LMTG -0.1213 16.76
HMN050_2 LMTG 0.1574 19.05
HMN052 LMTG 0.0316 18.76
HMN053 LMTG -0.2024 11.88
HMN055 LMTG 0.1038 15.69
HMN056 LMTG 0.4166 19.95
HMN057 LMTG 0.2227 17.45
HMN058 LMTG 0.2446 18.6
HMN060 LMTG 0.2142 19.33
HMN062 LMTG 0.3044 14.67
HMN065 LMTG 0.3068 18.21
HMN068 LMTG -0.0035 18.71
HMN069 LMTG 0.2414 18.45
HMN072 LMTG 0.0168 14.88
HMN073 LMTG 0.1823 14.95
HMN074 LMTG -0.0492 18.67
HMN075 LMTG 0.3516 18.88
HMN077 LMTG 0.1185 17.52
HMN079 LMTG 0.2034 15.54
HMN080_W2 LMTG 0.2925 15.1
HMN081 LMTG 0.5198 13.5
HMN082 LMTG 0.1847 9.8
HMN083_W2 LMTG 0.0212 15.07
HMN085 LMTG 0.0134 13.6
HMN086 LMTG 0.3827 16.05
HMN087 LMTG 0.2772 19
HMN088 LMTG 0.3569 14.07
HMN090 LMTG 0.1553 19.29
HMN092 LMTG -0.0559 12.86
HMN095 LMTG 0.1487 16.85
HMN096 LMTG 0.346 17.69
HMN099 LMTG -0.0251 17.05
HMN101 LMTG 0.3882 14.64
HMN102 LMTG 0.3392 12.37
HMN103 LMTG 0.1127 15.93
HMN104 LMTG 0.352 18.43
HMN105 LMTG 0.0759 16.71
HMN108 LMTG -0.0149 18.05
HMN109 LMTG 0.3235 13.95
HMN110 LMTG 0.0286 15.67
HMN111 LMTG 0.7095 13.93
HMN113 LMTG 0.1309 18.98
HMN114 LMTG 0.6558 18.68
HMN115 LMTG -0.0042 17.33
HMN116 LMTG -0.1017 15.93
HMN117 LMTG 0.2168 18.86
HMN118 LMTG 0.0715 14.6
HMN119 LMTG 0.1627 15.48
HMN120 LMTG -0.1165 14.95
HMN121 LMTG -0.056 17.86
HMN122 LMTG 0.4411 19
HMN123 LMTG 0.4709 16.32
HMN124 LMTG 0.2532 18
HMN125_W2 LMTG 0.3048 18.26
HMN126 LMTG -0.1681 12.98
HMN127 LMTG 0.1806 16.74
HMN129_W2 LMTG 0.1538 14.29
HMN130 LMTG 0.1234 14.8
HMN134 LMTG 0.0836 13.07
HMN136 LMTG 0.2364 16.07
HMN138 LMTG -0.0871 17.39
HMN140 LMTG 0.2314 14.1
HMN143 LMTG 0.1212 18.68
HMN144 LMTG 0.0299 16.24
HMN161_W2 LMTG 0.4711 16.14
HMN167 LMTG 0.1587 16.12
HMN169 LMTG 0.2578 16.55
HMN172 LMTG 0.5667 16.24
HMN174 LMTG 0.1584 18
HMN175 LMTG 0.0579 19.79
HMN178 LMTG 0.1189 16.95
HMN180 LMTG 0.0064 16.86
HMN182 LMTG 0.5759 17.95
HMN183 LMTG 0.331 18.6
HMN184 LMTG 0.3176 17.12
HMN186 LMTG 0.3647 17.07
HMN187 LMTG 0.3413 19.6
HMN188 LMTG 0.2854 18.1
HMN189 LMTG 0.5811 16.74
HMN190 LMTG -0.0246 17.33
HMN191 LMTG 0.0309 17.98
HMN193 LMTG 0.5459 11.4
HMN194 LMTG -0.0771 18.93
HMN196 LMTG -0.0563 19.31
HMN197 LMTG 0.2972 18
HMN199 LMTG 0.0231 15.26
HMN201 LMTG 0.1134 17.21
HMN001 LCing 0.1448 17.76
HMN002 LCing 0.0204 17.05
HMN003 LCing -0.0649 15.81
HMN004 LCing -0.0657 15.19
HMN005 LCing 0.0093 17.31
HMN006 LCing -0.381 19.9
HMN007 LCing -0.0579 16.76
HMN008 LCing -0.0569 19.48
HMN011 LCing -0.1293 16.88
HMN012 LCing 0.2728 19.29
HMN013 LCing -0.1209 19.62
HMN014 LCing -0.2922 17.48
HMN018 LCing 0.0283 17.95
HMN019 LCing -0.0609 19.07
HMN020 LCing -0.3444 17.33
HMN021 LCing -0.1504 18.19
HMN023 LCing -0.0251 19.57
HMN024 LCing -0.1425 18.75
HMN025 LCing 0.2396 18.95
HMN026 LCing -0.1004 18.14
HMN027 LCing 0.0426 18.98
HMN028 LCing -0.0407 17.88
HMN029 LCing -0.1986 19.71
HMN030 LCing -0.1615 15.93
HMN031 LCing 0.0399 15.76
HMN032 LCing 0.0674 18.29
HMN033 LCing -0.0473 11.24
HMN035 LCing -0.0561 17.76
HMN037 LCing -0.1389 17.41
HMN038 LCing -0.3665 17.81
HMN039 LCing 0.2047 17.12
HMN040 LCing -0.0807 13.02
HMN041 LCing 0.0851 16.83
HMN042 LCing -0.0935 16.69
HMN043 LCing 0.2488 16.48
HMN045 LCing 0.0516 19.46
HMN048 LCing 0.1402 15.86
HMN049 LCing 0.0964 16.76
HMN050_2 LCing -0.1175 19.05
HMN052 LCing -0.0801 18.76
HMN053 LCing -0.2011 11.88
HMN055 LCing 0.009 15.69
HMN056 LCing -0.1766 19.95
HMN057 LCing -0.3105 17.45
HMN058 LCing 0.0549 18.6
HMN060 LCing -0.2174 19.33
HMN062 LCing -0.0898 14.67
HMN065 LCing -0.187 18.21
HMN068 LCing 0.1246 18.71
HMN069 LCing 0.2406 18.45
HMN072 LCing 0.0587 14.88
HMN073 LCing -0.0853 14.95
HMN074 LCing -0.2615 18.67
HMN075 LCing 0.0701 18.88
HMN077 LCing -0.0789 17.52
HMN079 LCing -0.1426 15.54
HMN080_W2 LCing 0.0248 15.1
HMN081 LCing 0.0104 13.5
HMN082 LCing -0.0678 9.8
HMN083_W2 LCing -0.0656 15.07
HMN085 LCing 0.037 13.6
HMN086 LCing -0.2043 16.05
HMN087 LCing -0.1708 19
HMN088 LCing -0.0907 14.07
HMN090 LCing 0.0494 19.29
HMN092 LCing 0.1434 12.86
HMN095 LCing -0.1145 16.85
HMN096 LCing 0.0022 17.69
HMN099 LCing -0.2499 17.05
HMN101 LCing 0.0948 14.64
HMN102 LCing 0.2587 12.37
HMN103 LCing -0.0747 15.93
HMN104 LCing 0.1003 18.43
HMN105 LCing 0.0279 16.71
HMN108 LCing 0.0791 18.05
HMN109 LCing -0.3074 13.95
HMN110 LCing 0.1537 15.67
HMN111 LCing 0.1964 13.93
HMN113 LCing -0.2509 18.98
HMN114 LCing -0.1424 18.68
HMN115 LCing 0.1983 17.33
HMN116 LCing -0.1871 15.93
HMN117 LCing 0.251 18.86
HMN118 LCing 0.2241 14.6
HMN119 LCing -0.0223 15.48
HMN120 LCing -0.1809 14.95
HMN121 LCing 0.0941 17.86
HMN122 LCing 0.1725 19
HMN123 LCing -0.2555 16.32
HMN124 LCing -0.0117 18
HMN125_W2 LCing -0.3065 18.26
HMN126 LCing -0.0032 12.98
HMN127 LCing -0.0197 16.74
HMN129_W2 LCing -0.0795 14.29
HMN130 LCing -0.1068 14.8
HMN134 LCing -0.0529 13.07
HMN136 LCing -0.1952 16.07
HMN138 LCing 0.0235 17.39
HMN140 LCing 0.1092 14.1
HMN143 LCing 0.0594 18.68
HMN144 LCing -0.2333 16.24
HMN161_W2 LCing 0.1128 16.14
HMN167 LCing 0.0022 16.12
HMN169 LCing -0.1083 16.55
HMN172 LCing -0.1943 16.24
HMN174 LCing -0.0734 18
HMN175 LCing 0.097 19.79
HMN178 LCing -0.1741 16.95
HMN180 LCing 0.0834 16.86
HMN182 LCing 0.1672 17.95
HMN183 LCing -0.0875 18.6
HMN184 LCing 0.0405 17.12
HMN186 LCing -0.0588 17.07
HMN187 LCing -0.064 19.6
HMN188 LCing -0.2224 18.1
HMN189 LCing -0.0758 16.74
HMN190 LCing -0.1585 17.33
HMN191 LCing -0.2594 17.98
HMN193 LCing -0.0415 11.4
HMN194 LCing -0.2073 18.93
HMN196 LCing 0.0299 19.31
HMN197 LCing -0.0487 18
HMN199 LCing -0.2798 15.26
HMN201 LCing -0.2738 17.21
HMN001 LIFG 0.1676 17.76
HMN002 LIFG 0.1155 17.05
HMN003 LIFG 0.0737 15.81
HMN004 LIFG 0.1804 15.19
HMN005 LIFG 0.0852 17.31
HMN006 LIFG -0.139 19.9
HMN007 LIFG 0.1575 16.76
HMN008 LIFG -0.0021 19.48
HMN011 LIFG 0.1171 16.88
HMN012 LIFG -0.1068 19.29
HMN013 LIFG -0.0941 19.62
HMN014 LIFG 0.0803 17.48
HMN018 LIFG 0.1012 17.95
HMN019 LIFG -0.0529 19.07
HMN020 LIFG 0.0386 17.33
HMN021 LIFG -0.1402 18.19
HMN023 LIFG -0.0391 19.57
HMN024 LIFG 0.0679 18.75
HMN025 LIFG 0.0172 18.95
HMN026 LIFG -0.1026 18.14
HMN027 LIFG 0.1016 18.98
HMN028 LIFG 0.1692 17.88
HMN029 LIFG -0.0533 19.71
HMN030 LIFG -0.1823 15.93
HMN031 LIFG 0.0383 15.76
HMN032 LIFG 0.0722 18.29
HMN033 LIFG -0.2171 11.24
HMN035 LIFG 0.3317 17.76
HMN037 LIFG -0.1931 17.41
HMN038 LIFG 0.0196 17.81
HMN039 LIFG -0.0054 17.12
HMN040 LIFG 0.0108 13.02
HMN041 LIFG -0.0338 16.83
HMN042 LIFG -0.0274 16.69
HMN043 LIFG 0.1356 16.48
HMN045 LIFG 0.2574 19.46
HMN048 LIFG 0.0573 15.86
HMN049 LIFG 0.0837 16.76
HMN050_2 LIFG 0.0157 19.05
HMN052 LIFG 0.1272 18.76
HMN053 LIFG -0.0435 11.88
HMN055 LIFG 0.0752 15.69
HMN056 LIFG -0.0814 19.95
HMN057 LIFG 0.0664 17.45
HMN058 LIFG -0.0327 18.6
HMN060 LIFG 0.0136 19.33
HMN062 LIFG -0.0377 14.67
HMN065 LIFG 0.2854 18.21
HMN068 LIFG 0.2193 18.71
HMN069 LIFG -0.0158 18.45
HMN072 LIFG 0.1386 14.88
HMN073 LIFG 0.1153 14.95
HMN074 LIFG 0.0173 18.67
HMN075 LIFG 0.0928 18.88
HMN077 LIFG 0.1729 17.52
HMN079 LIFG 0.2683 15.54
HMN080_W2 LIFG 0.1105 15.1
HMN081 LIFG 0.0839 13.5
HMN082 LIFG -0.0543 9.8
HMN083_W2 LIFG 0.0837 15.07
HMN085 LIFG 0.0912 13.6
HMN086 LIFG 0.0994 16.05
HMN087 LIFG 0.1393 19
HMN088 LIFG -0.1399 14.07
HMN090 LIFG 0.0063 19.29
HMN092 LIFG 0.0714 12.86
HMN095 LIFG 0.0231 16.85
HMN096 LIFG -0.125 17.69
HMN099 LIFG -0.1694 17.05
HMN101 LIFG 0.1206 14.64
HMN102 LIFG 0.1531 12.37
HMN103 LIFG -0.1567 15.93
HMN104 LIFG 0.0881 18.43
HMN105 LIFG 0.1745 16.71
HMN108 LIFG 0.0108 18.05
HMN109 LIFG 0.0358 13.95
HMN110 LIFG -0.0784 15.67
HMN111 LIFG -0.0155 13.93
HMN113 LIFG -0.0412 18.98
HMN114 LIFG 0.0316 18.68
HMN115 LIFG -0.0444 17.33
HMN116 LIFG -0.1581 15.93
HMN117 LIFG 0.0936 18.86
HMN118 LIFG -0.0488 14.6
HMN119 LIFG 0.0246 15.48
HMN120 LIFG 0.1751 14.95
HMN121 LIFG 0.2922 17.86
HMN122 LIFG -0.0753 19
HMN123 LIFG -0.4035 16.32
HMN124 LIFG 0.0679 18
HMN125_W2 LIFG -0.0188 18.26
HMN126 LIFG -0.0114 12.98
HMN127 LIFG 0.0561 16.74
HMN129_W2 LIFG 0.0557 14.29
HMN130 LIFG 0.0296 14.8
HMN134 LIFG 0.1613 13.07
HMN136 LIFG 0.1655 16.07
HMN138 LIFG 0.0305 17.39
HMN140 LIFG 0.0287 14.1
HMN143 LIFG -0.046 18.68
HMN144 LIFG 0.0934 16.24
HMN161_W2 LIFG 0.2779 16.14
HMN167 LIFG 0.2066 16.12
HMN169 LIFG 0.1999 16.55
HMN172 LIFG 0.0593 16.24
HMN174 LIFG 0.0666 18
HMN175 LIFG -0.1071 19.79
HMN178 LIFG -0.1395 16.95
HMN180 LIFG 0.2289 16.86
HMN182 LIFG -0.021 17.95
HMN183 LIFG 0.0993 18.6
HMN184 LIFG 0.0578 17.12
HMN186 LIFG 0.1737 17.07
HMN187 LIFG -0.1152 19.6
HMN188 LIFG 0.0235 18.1
HMN189 LIFG -0.1111 16.74
HMN190 LIFG 0.0518 17.33
HMN191 LIFG 0.1877 17.98
HMN193 LIFG 0.0183 11.4
HMN194 LIFG -0.0257 18.93
HMN196 LIFG -0.0627 19.31
HMN197 LIFG 0.1108 18
HMN199 LIFG 0.0499 15.26
HMN201 LIFG 0.1347 17.21
HMN001 ACC 0.2086 17.76
HMN002 ACC 0.1245 17.05
HMN003 ACC 0.223 15.81
HMN004 ACC -0.0991 15.19
HMN005 ACC -0.2028 17.31
HMN006 ACC 0.077 19.9
HMN007 ACC 0.2069 16.76
HMN008 ACC -0.1671 19.48
HMN011 ACC 0.245 16.88
HMN012 ACC 0.2742 19.29
HMN013 ACC 0.0891 19.62
HMN014 ACC 0.2906 17.48
HMN018 ACC 0.1222 17.95
HMN019 ACC -7e-04 19.07
HMN020 ACC 0.1205 17.33
HMN021 ACC -0.3563 18.19
HMN023 ACC 0.0023 19.57
HMN024 ACC -0.1638 18.75
HMN025 ACC 0.1242 18.95
HMN026 ACC -0.043 18.14
HMN027 ACC 0.0558 18.98
HMN028 ACC -0.1163 17.88
HMN029 ACC -0.1261 19.71
HMN030 ACC 0.1186 15.93
HMN031 ACC 0.3853 15.76
HMN032 ACC 0.0832 18.29
HMN033 ACC -0.0304 11.24
HMN035 ACC 0.1588 17.76
HMN037 ACC 0.012 17.41
HMN038 ACC 0.2887 17.81
HMN039 ACC 0.0535 17.12
HMN040 ACC 0.152 13.02
HMN041 ACC -0.1902 16.83
HMN042 ACC -0.0722 16.69
HMN043 ACC -0.0155 16.48
HMN045 ACC 0.028 19.46
HMN048 ACC -0.041 15.86
HMN049 ACC -0.0482 16.76
HMN050_2 ACC 0.033 19.05
HMN052 ACC 0.125 18.76
HMN053 ACC 0.0461 11.88
HMN055 ACC 0.0393 15.69
HMN056 ACC -0.0174 19.95
HMN057 ACC -0.1289 17.45
HMN058 ACC 0.1033 18.6
HMN060 ACC -0.0265 19.33
HMN062 ACC -0.1078 14.67
HMN065 ACC 0.2318 18.21
HMN068 ACC 0.58 18.71
HMN069 ACC 0.389 18.45
HMN072 ACC -0.0251 14.88
HMN073 ACC 0.2 14.95
HMN074 ACC 0.2229 18.67
HMN075 ACC 0.2658 18.88
HMN077 ACC 0.1069 17.52
HMN079 ACC 0.0715 15.54
HMN080_W2 ACC 0.1976 15.1
HMN081 ACC -0.0807 13.5
HMN082 ACC 0.0374 9.8
HMN083_W2 ACC -0.0459 15.07
HMN085 ACC 0.1246 13.6
HMN086 ACC 0.1022 16.05
HMN087 ACC -0.0036 19
HMN088 ACC 0.0071 14.07
HMN090 ACC -0.089 19.29
HMN092 ACC 0.0031 12.86
HMN095 ACC 0.0259 16.85
HMN096 ACC 0.0267 17.69
HMN099 ACC -0.2399 17.05
HMN101 ACC 0.1942 14.64
HMN102 ACC 0.5034 12.37
HMN103 ACC 0.0062 15.93
HMN104 ACC 0.1197 18.43
HMN105 ACC -0.0692 16.71
HMN108 ACC 0.2928 18.05
HMN109 ACC 0.0179 13.95
HMN110 ACC -0.0111 15.67
HMN111 ACC -0.2511 13.93
HMN113 ACC 0.0435 18.98
HMN114 ACC -0.1338 18.68
HMN115 ACC 0.2417 17.33
HMN116 ACC 0.0443 15.93
HMN117 ACC -0.0123 18.86
HMN118 ACC 0.1056 14.6
HMN119 ACC 0.0063 15.48
HMN120 ACC 0.0971 14.95
HMN121 ACC 0.1791 17.86
HMN122 ACC -0.0505 19
HMN123 ACC -0.2926 16.32
HMN124 ACC 0.0586 18
HMN125_W2 ACC -0.2787 18.26
HMN126 ACC 0.0872 12.98
HMN127 ACC -0.2573 16.74
HMN129_W2 ACC -0.1101 14.29
HMN130 ACC -0.0496 14.8
HMN134 ACC 0.2155 13.07
HMN136 ACC -0.1242 16.07
HMN138 ACC 0.3041 17.39
HMN140 ACC 0.1447 14.1
HMN143 ACC 0.0558 18.68
HMN144 ACC -0.1935 16.24
HMN161_W2 ACC 0.2443 16.14
HMN167 ACC -0.0038 16.12
HMN169 ACC 0.0025 16.55
HMN172 ACC -0.1501 16.24
HMN174 ACC -0.053 18
HMN175 ACC 0.2892 19.79
HMN178 ACC -0.0173 16.95
HMN180 ACC 0.1539 16.86
HMN182 ACC 0.0618 17.95
HMN183 ACC 0.1195 18.6
HMN184 ACC -0.0376 17.12
HMN186 ACC 0.0653 17.07
HMN187 ACC -0.0574 19.6
HMN188 ACC 0.1338 18.1
HMN189 ACC 0.2103 16.74
HMN190 ACC -0.0624 17.33
HMN191 ACC 0.1169 17.98
HMN193 ACC 8e-04 11.4
HMN194 ACC 0.0631 18.93
HMN196 ACC 0.2489 19.31
HMN197 ACC 0.0889 18
HMN199 ACC -0.1176 15.26
HMN201 ACC 0.3383 17.21
HMN001 SGC 0.3457 17.76
HMN002 SGC -0.112 17.05
HMN003 SGC 0.3898 15.81
HMN004 SGC -0.1856 15.19
HMN005 SGC -0.0694 17.31
HMN006 SGC 0.214 19.9
HMN007 SGC 0.271 16.76
HMN008 SGC -0.1474 19.48
HMN011 SGC -0.0952 16.88
HMN012 SGC 0.0035 19.29
HMN013 SGC 0.1385 19.62
HMN014 SGC 0.2923 17.48
HMN018 SGC -0.0281 17.95
HMN019 SGC 0.0702 19.07
HMN020 SGC 0.2566 17.33
HMN021 SGC -0.1975 18.19
HMN023 SGC 0.2921 19.57
HMN024 SGC -0.0075 18.75
HMN025 SGC -0.0496 18.95
HMN026 SGC 0.2266 18.14
HMN027 SGC -0.1152 18.98
HMN028 SGC 0.0192 17.88
HMN029 SGC 0.1632 19.71
HMN030 SGC 0.1805 15.93
HMN031 SGC 0.2258 15.76
HMN032 SGC 0.1837 18.29
HMN033 SGC -0.0613 11.24
HMN035 SGC 0.1615 17.76
HMN037 SGC -0.0037 17.41
HMN038 SGC 0.2382 17.81
HMN039 SGC 0.1348 17.12
HMN040 SGC -0.0934 13.02
HMN041 SGC -0.1032 16.83
HMN042 SGC -0.0015 16.69
HMN043 SGC 0.1406 16.48
HMN045 SGC 0.0258 19.46
HMN048 SGC -0.1077 15.86
HMN049 SGC 0.0478 16.76
HMN050_2 SGC 0.1715 19.05
HMN052 SGC 0.1205 18.76
HMN053 SGC -0.0105 11.88
HMN055 SGC 0.0014 15.69
HMN056 SGC 0.0541 19.95
HMN057 SGC -0.0815 17.45
HMN058 SGC 0.0522 18.6
HMN060 SGC -0.0102 19.33
HMN062 SGC 0.0448 14.67
HMN065 SGC 0.2061 18.21
HMN068 SGC 0.3315 18.71
HMN069 SGC 0.1439 18.45
HMN072 SGC 0.1643 14.88
HMN073 SGC 0.1399 14.95
HMN074 SGC 0.166 18.67
HMN075 SGC 0.1246 18.88
HMN077 SGC 0.1387 17.52
HMN079 SGC 0.1415 15.54
HMN080_W2 SGC 0.0907 15.1
HMN081 SGC 0.0407 13.5
HMN082 SGC -0.0628 9.8
HMN083_W2 SGC -0.0551 15.07
HMN085 SGC 0.0256 13.6
HMN086 SGC 0.2035 16.05
HMN087 SGC 0.0089 19
HMN088 SGC 0.0251 14.07
HMN090 SGC -0.157 19.29
HMN092 SGC 0.0247 12.86
HMN095 SGC 0.0083 16.85
HMN096 SGC 0.2162 17.69
