subject ROI    y     x
HMN056 RTPJp 1.001 19.95
HMN057 RTPJp 0.8941 17.45
HMN058 RTPJp 0.5599 18.6
HMN060 RTPJp 0.9484 19.33
HMN062 RTPJp 0.2982 14.67
HMN065 RTPJp 0.9008 18.21
HMN068 RTPJp 1.0877 18.71
HMN069 RTPJp 0.7883 18.45
HMN072 RTPJp 0.7933 14.88
HMN073 RTPJp 0.4381 14.95
HMN074 RTPJp 0.8516 18.67
HMN075 RTPJp 0.9117 18.88
HMN077 RTPJp 1.202 17.52
HMN079 RTPJp 0.9782 15.54
HMN080_W2 RTPJp 0.5652 15.1
HMN081 RTPJp 0.882 13.5
HMN082 RTPJp 0.3986 9.8
HMN083_W2 RTPJp 0.5494 15.07
HMN085 RTPJp 0.2914 13.6
HMN086 RTPJp 0.6047 16.05
HMN087 RTPJp 0.513 19
HMN088 RTPJp 0.4298 14.07
HMN090 RTPJp 0.5853 19.29
HMN092 RTPJp 0.4407 12.86
HMN095 RTPJp 0.4959 16.85
HMN096 RTPJp 0.8554 17.69
HMN099 RTPJp 0.478 17.05
HMN101 RTPJp 0.7455 14.64
HMN102 RTPJp 1.0559 12.37
HMN103 RTPJp 0.429 15.93
HMN104 RTPJp 0.7188 18.43
HMN105 RTPJp 0.3112 16.71
HMN108 RTPJp 0.7627 18.05
HMN109 RTPJp 0.9621 13.95
HMN110 RTPJp 0.726 15.67
HMN111 RTPJp 0.1342 13.93
HMN113 RTPJp 0.3734 18.98
HMN114 RTPJp 0.5665 18.68
HMN115 RTPJp 0.804 17.33
HMN116 RTPJp 0.8346 15.93
HMN117 RTPJp 0.4648 18.86
HMN118 RTPJp 0.8902 14.6
HMN119 RTPJp 0.5864 15.48
HMN120 RTPJp 0.5953 14.95
HMN121 RTPJp 0.6756 17.86
HMN122 RTPJp 0.6789 19
HMN123 RTPJp 0.3367 16.32
HMN124 RTPJp 0.7079 18
HMN125_W2 RTPJp 0.3876 18.26
HMN126 RTPJp 0.9365 12.98
HMN127 RTPJp 0.5476 16.74
HMN129_W2 RTPJp 0.6492 14.29
HMN130 RTPJp 0.8344 14.8
HMN134 RTPJp 0.4267 13.07
HMN136 RTPJp 0.2979 16.07
HMN138 RTPJp 0.7654 17.39
HMN140 RTPJp 0.811 14.1
HMN143 RTPJp 0.5397 18.68
HMN144 RTPJp 0.4253 16.24
HMN161_W2 RTPJp 0.8366 16.14
HMN167 RTPJp 0.628 16.12
HMN169 RTPJp 0.6105 16.55
HMN172 RTPJp 0.6148 16.24
HMN174 RTPJp 0.6918 18
HMN175 RTPJp 1.171 19.79
HMN178 RTPJp 0.3625 16.95
HMN180 RTPJp 0.8021 16.86
HMN182 RTPJp 0.5753 17.95
HMN183 RTPJp 0.7967 18.6
HMN184 RTPJp 1.0826 17.12
HMN186 RTPJp 0.3549 17.07
HMN187 RTPJp 0.633 19.6
HMN188 RTPJp 1.172 18.1
HMN189 RTPJp 1.074 16.74
HMN190 RTPJp 1.0785 17.33
HMN191 RTPJp 0.3847 17.98
HMN193 RTPJp 0.4774 11.4
HMN194 RTPJp 0.6644 18.93
HMN196 RTPJp 0.7271 19.31
HMN197 RTPJp 0.6129 18
HMN199 RTPJp 0.827 15.26
HMN201 RTPJp 0.8952 17.21
HMN001 RIns 0.1071 17.76
HMN002 RIns 0.4318 17.05
HMN003 RIns -0.0753 15.81
HMN004 RIns 0.2315 15.19
HMN005 RIns 0.0714 17.31
HMN006 RIns 0.2028 19.9
HMN007 RIns -0.0224 16.76
HMN008 RIns -0.0875 19.48
HMN011 RIns 0.0997 16.88
HMN012 RIns -0.0096 19.29
HMN013 RIns 0.0943 19.62
HMN014 RIns 0.0931 17.48
HMN018 RIns 0.1095 17.95
HMN019 RIns 0.0948 19.07
HMN020 RIns 0.1957 17.33
HMN021 RIns 0.0834 18.19
HMN023 RIns -0.0512 19.57
HMN024 RIns 0.1953 18.75
HMN025 RIns 0.1022 18.95
HMN026 RIns 0.1647 18.14
HMN027 RIns 0.027 18.98
HMN028 RIns 0.2954 17.88
HMN029 RIns 0.1573 19.71
HMN030 RIns 0.1427 15.93
HMN031 RIns 0.2386 15.76
HMN032 RIns -0.0092 18.29
HMN033 RIns 0.0689 11.24
HMN035 RIns 0.184 17.76
HMN037 RIns 0.0754 17.41
HMN038 RIns 0.12 17.81
HMN039 RIns -0.1877 17.12
HMN040 RIns 0.077 13.02
HMN041 RIns -0.0602 16.83
HMN042 RIns 0.0481 16.69
HMN043 RIns 0.3146 16.48
HMN045 RIns 0.287 19.46
HMN048 RIns 0.0635 15.86
HMN049 RIns 0.2749 16.76
HMN050_2 RIns 0.0313 19.05
HMN052 RIns -0.07 18.76
HMN053 RIns 0.1479 11.88
HMN055 RIns 0.1386 15.69
HMN056 RIns 0.0895 19.95
HMN057 RIns 0.072 17.45
HMN058 RIns 0.0136 18.6
HMN060 RIns 0.0319 19.33
HMN062 RIns 0.0786 14.67
HMN065 RIns 0.177 18.21
HMN068 RIns 0.1382 18.71
HMN069 RIns 0.3711 18.45
HMN072 RIns 0.1806 14.88
HMN073 RIns 0.0182 14.95
HMN074 RIns 0.1208 18.67
HMN075 RIns 0.2633 18.88
HMN077 RIns 0.084 17.52
HMN079 RIns 0.1866 15.54
HMN080_W2 RIns 0.1492 15.1
HMN081 RIns 0.1934 13.5
HMN082 RIns 0.1923 9.8
HMN083_W2 RIns 0.0929 15.07
HMN085 RIns 0.0253 13.6
HMN086 RIns 0.1204 16.05
HMN087 RIns 0.0685 19
HMN088 RIns 0.0177 14.07
HMN090 RIns -0.0595 19.29
HMN092 RIns 0.2249 12.86
HMN095 RIns 0.3485 16.85
HMN096 RIns 0.1678 17.69
HMN099 RIns 0.0236 17.05
HMN101 RIns 0.2608 14.64
HMN102 RIns 0.212 12.37
HMN103 RIns -0.0628 15.93
HMN104 RIns 0.3465 18.43
HMN105 RIns 0.0198 16.71
HMN108 RIns 0.1504 18.05
HMN109 RIns 0.3045 13.95
HMN110 RIns -0.1649 15.67
HMN111 RIns 0.0356 13.93
HMN113 RIns -0.2423 18.98
HMN114 RIns 0.208 18.68
HMN115 RIns 0.2735 17.33
